Rank,Name,Assoc,Points
1,WANG Chuqin,CHN,7925
2,LIANG Jingkun,CHN,4025
3,MA Long,CHN,3985
4,FAN Zhendong,CHN,3662
5,Felix LEBRUN,FRA,3587
6,Hugo CALDERANO,BRA,3545
7,LIN Gaoyuan,CHN,2820
8,LIN Yun-Ju,TPE,2660
9,Tomokazu HARIMOTO,JPN,2630
10,Patrick FRANZISKA,GER,2292
11,Dang QIU,GER,2015
12,LIN Shidong,CHN,1795
13,JANG Woojin,KOR,1665
14,Dimitrij OVTCHAROV,GER,1535
15,Shunsuke TOGAMI,JPN,1320
16,Alexis LEBRUN,FRA,1258
17,Marcos FREITAS,POR,1253
18,Darko JORGIC,SLO,1210
19,Quadri ARUNA,NGR,1210
20,CHO Daeseong,KOR,1185
21,AN Jaehyun,KOR,1165
22,Omar ASSAR,EGY,1073
23,Jonathan GROTH,DEN,1063
24,Timo BOLL,GER,1060
25,Anton KALLBERG,SWE,1016
26,Truls MOREGARD,SWE,1010
27,Sora MATSUSHIMA,JPN,910
28,Benedikt DUDA,GER,905
29,Simon GAUZY,FRA,875
30,LIM Jonghoon,KOR,865
31,Mattias FALCK,SWE,834
32,KAO Cheng-Jui,TPE,806
33,LEE Sang Su,KOR,791
34,Alvaro ROBLES,ESP,765
35,Maharu YOSHIMURA,JPN,740
36,CHUANG Chih-Yuan,TPE,685
37,Edward LY,CAN,657
38,Nicholas LUM,AUS,655
39,Hiroto SHINOZUKA,JPN,645
40,Sharath Kamal ACHANTA,IND,638
41,Liam PITCHFORD,ENG,630
42,Steffen MENGEL,GER,603
43,Aditya SAREEN,AUS,587
44,Finn LUU,AUS,584
45,Ovidiu IONESCU,ROU,576
46,Kirill GERASSIMENKO,KAZ,541
47,Mohamed EL-BEIALI,EGY,531
48,Yuta TANAKA,JPN,519
49,Yukiya UDA,JPN,510
50,WONG Chun Ting,HKG,510
51,Noshad ALAMIYAN,IRI,491
52,OH Junsung,KOR,489
53,Tomislav PUCAR,CRO,487
54,XIANG Peng,CHN,449
55,FENG Yi-Hsin,TPE,445
56,Manav Vikash THAKKAR,IND,445
57,Andy PEREIRA,CUB,441
58,Nicolas BURGOS,CHI,438
59,Ricardo WALTHER,GER,430
60,Kristian KARLSSON,SWE,420
61,Ahmed SALEH,EGY,415
62,Anders LIND,DEN,412
