Player,WANG Chuqin,LIANG Jingkun,FAN Zhendong,Felix LEBRUN,Tomokazu HARIMOTO,Hugo CALDERANO,Patrick FRANZISKA,Dang QIU,MA Long,LIN Yun-Ju,JANG Woojin,LIN Gaoyuan,Dimitrij OVTCHAROV,Darko JORGIC,LIN Shidong,Omar ASSAR,CHO Daeseong,Jonathan GROTH,Timo BOLL,LEE Sang Su,Anton KALLBERG,Shunsuke TOGAMI,LIM Jonghoon,Truls MOREGARD,Alexis LEBRUN,Simon GAUZY,KAO Cheng-Jui,Quadri ARUNA,Maharu YOSHIMURA,CHUANG Chih-Yuan,Ovidiu IONESCU,Sharath Kamal ACHANTA,Sora MATSUSHIMA,Alvaro ROBLES,Kristian KARLSSON,Benedikt DUDA,Noshad ALAMIYAN,OH Junsung,Liam PITCHFORD,Edward LY,Anders LIND,Marcos FREITAS,AN Jaehyun
WANG Chuqin,,100.0,0.0,100.0,,100.0,100.0,100.0,0.0,,100.0,100.0,,,100.0,,,100.0,,,,,,100.0,,100.0,100.0,,100.0,,100.0,,100.0,,,,,,,,,,
LIANG Jingkun,0.0,,,,100.0,50.0,,,100.0,100.0,,,,100.0,,,,,100.0,,50.0,,,,100.0,100.0,,,,,,,,,,100.0,0.0,,,,,,
FAN Zhendong,100.0,,,,100.0,50.0,50.0,,,,,0.0,,,50.0,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,,,,,100.0
Felix LEBRUN,0.0,,,,100.0,0.0,,0.0,0.0,,0.0,,100.0,,,,,,100.0,,,,,,,,,100.0,,,,100.0,100.0,,100.0,100.0,,,,,100.0,,
Tomokazu HARIMOTO,,0.0,0.0,0.0,,,,,,100.0,,0.0,,,,100.0,,100.0,,,100.0,,100.0,,,,,,,100.0,,,,,,,,100.0,,,,100.0,
Hugo CALDERANO,0.0,50.0,50.0,100.0,,,,0.0,,,,,100.0,,,,0.0,,,,,100.0,,100.0,100.0,,,,,,,,,,,,,,,,,,
Patrick FRANZISKA,0.0,,50.0,,,,,100.0,100.0,0.0,50.0,,100.0,,,,,,,,,,,,,100.0,,,,,,,,100.0,,,,,,,100.0,,
Dang QIU,0.0,,,100.0,,100.0,0.0,,,,100.0,,,,,,100.0,,100.0,,,,,,,0.0,,,100.0,,,,,,,,,,,,100.0,,
MA Long,100.0,0.0,,100.0,,,0.0,,,100.0,0.0,100.0,,,,,,,,,,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,
LIN Yun-Ju,,0.0,,,0.0,,100.0,,0.0,,50.0,,,,,,,100.0,,,,,,,,,,,,0.0,100.0,,,100.0,,,,,,100.0,,,
JANG Woojin,0.0,,,100.0,,,50.0,0.0,100.0,50.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,100.0
LIN Gaoyuan,0.0,,100.0,,100.0,,,,0.0,,,,,100.0,,,,0.0,,0.0,100.0,,,,,,100.0,,,,,,,,,,,,,,,,
Dimitrij OVTCHAROV,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,100.0,,,100.0,,,,,,,,,,,,,,,,,100.0,
Darko JORGIC,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,100.0,,,,
LIN Shidong,0.0,,50.0,,,,,,,,,,,,,,100.0,,0.0,,,,,100.0,,,,,,,,,,,,,100.0,,,,,,100.0
Omar ASSAR,,,,,0.0,,,,,,,,,,,,,,,100.0,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,
CHO Daeseong,,,,,,100.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,
Jonathan GROTH,0.0,,,,0.0,,,,,0.0,,100.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,100.0,,,,,,
Timo BOLL,,0.0,,0.0,,,,0.0,,,,,,,100.0,,,100.0,,,100.0,,,,,,,,,,,,,,,,,100.0,,,,,
LEE Sang Su,,,0.0,,,,,,,,,100.0,,,,0.0,,,,,100.0,,,,,0.0,,0.0,,,,,,,,,,,,100.0,,,
Anton KALLBERG,,50.0,,,0.0,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,100.0,,,
Shunsuke TOGAMI,,,,,,0.0,,,0.0,,,,0.0,,,100.0,,,,,,,,0.0,,,,,,,,,,,,,,,,100.0,,,
LIM Jonghoon,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,100.0,,,,,,,,,,
Truls MOREGARD,0.0,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,100.0,,,,,,,,,,,,,,,,,100.0,,,,
Alexis LEBRUN,,0.0,,,,0.0,,,0.0,,,,0.0,100.0,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,
Simon GAUZY,0.0,0.0,,,,,0.0,100.0,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,
KAO Cheng-Jui,0.0,,,,,,,,,,,0.0,,,,,,,,,,,100.0,,0.0,,,,,,,,,,,,0.0,,,,,,
Quadri ARUNA,,,,0.0,,,,,,,,,,,,,0.0,,,100.0,,,100.0,,,,,,,,0.0,100.0,,,,,,,,,,,
Maharu YOSHIMURA,0.0,,,,,,,0.0,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHUANG Chih-Yuan,,,,,0.0,,,,,100.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ovidiu IONESCU,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,
Sharath Kamal ACHANTA,,,,0.0,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
