Player 1,Player 2,Winner (1 or 2),Scores
WANG Chuqin,Simon GAUZY,1,3-0
Ovidiu IONESCU,Paul DRINKHALL,1,3-1
Maharu YOSHIMURA,Ali ALKHADRAWI,1,3-0
QUEK Izaac,Omar ASSAR,2,1-3
Dimitrij OVTCHAROV,Alexis LEBRUN,1,3-2
Hiroto SHINOZUKA,Khalid ALSHAREIF,1,3-0
Jonathan GROTH,Joao GERALDO,1,3-1
Abdulaziz BU SHULAIBI,LIN Gaoyuan,2,0-3
LIANG Jingkun,Daniel HABESOHN,1,3-0
Noshad ALAMIYAN,KAO Cheng-Jui,1,3-2
Liam PITCHFORD,Ruwen FILUS,2,0-3
Truls MOREGARD,LIN Shidong,2,1-3
Anton KALLBERG,LEE Sang Su,2,2-3
Sharath Kamal ACHANTA,Quadri ARUNA,2,2-3
Andy PEREIRA,CHO Daeseong,2,0-3
CHUANG Chih-Yuan,LIN Yun-Ju,1,3-0
Felix LEBRUN,Kirill GERASSIMENKO,1,3-1
Aditya SAREEN,Benedikt DUDA,2,1-3
Sora MATSUSHIMA,LIM Jonghoon,2,2-3
Tomislav PUCAR,Tomokazu HARIMOTO,2,2-3
Marcos FREITAS,Nicholas LUM,2,0-3
Darko JORGIC,Can AKKUZU,1,3-2
JANG Woojin,FENG Yi-Hsin,1,3-1
Martin ALLEGRO,MA Long,2,0-3
Hugo CALDERANO,Finn LUU,1,3-0
Edward LY,Shunsuke TOGAMI,2,0-3
OH Junsung,Timo BOLL,2,0-3
Tiago APOLONIA,Dang QIU,2,2-3
Patrick FRANZISKA,Anders LIND,1,3-2
WONG Chun Ting,Alvaro ROBLES,2,2-3
AN Jaehyun,Kristian KARLSSON,1,3-0
Nicolas BURGOS,FAN Zhendong,2,0-3
WANG Chuqin,Ovidiu IONESCU,1,3-0
Maharu YOSHIMURA,Omar ASSAR,1,3-2
Dimitrij OVTCHAROV,Hiroto SHINOZUKA,2,1-3
Jonathan GROTH,LIN Gaoyuan,1,3-1
LIANG Jingkun,Noshad ALAMIYAN,2,2-3
Ruwen FILUS,LIN Shidong,2,2-3
LEE Sang Su,Quadri ARUNA,2,2-3
CHO Daeseong,CHUANG Chih-Yuan,1,3-2
Felix LEBRUN,Benedikt DUDA,1,3-2
LIM Jonghoon,Tomokazu HARIMOTO,2,1-3
Nicholas LUM,Darko JORGIC,2,0-3
JANG Woojin,MA Long,1,3-0
Hugo CALDERANO,Shunsuke TOGAMI,1,3-2
Timo BOLL,Dang QIU,2,1-3
Patrick FRANZISKA,Alvaro ROBLES,1,3-0
AN Jaehyun,FAN Zhendong,2,0-3
WANG Chuqin,Maharu YOSHIMURA,1,3-1
Hiroto SHINOZUKA,Jonathan GROTH,2,2-3
Noshad ALAMIYAN,LIN Shidong,2,1-3
Quadri ARUNA,CHO Daeseong,2,2-3
Felix LEBRUN,Tomokazu HARIMOTO,1,3-0
Darko JORGIC,JANG Woojin,2,2-3
Hugo CALDERANO,Dang QIU,2,1-3
Patrick FRANZISKA,FAN Zhendong,1,3-2
WANG Chuqin,Jonathan GROTH,1,4-0
LIN Shidong,CHO Daeseong,1,4-1
Felix LEBRUN,JANG Woojin,2,1-4
Dang QIU,Patrick FRANZISKA,2,0-4
WANG Chuqin,LIN Shidong,1,4-3
JANG Woojin,Patrick FRANZISKA,2,3-4
WANG Chuqin,Patrick FRANZISKA,1,4-2
