Player 1,Player 2,Winner (1 or 2),Scores
WANG Chuqin,BYE,1,3-0 (Walkover)
Anders LIND,Sora MATSUSHIMA,2,1-3
KAO Cheng-Jui,LIM Jonghoon,1,3-1
Anton KALLBERG,LIN Gaoyuan,2,1-3
Felix LEBRUN,Quadri ARUNA,1,3-2
Timo BOLL,Jonathan GROTH,1,3-1
Kanak JHA,Dang QIU,2,2-3
JANG Woojin,Patrick FRANZISKA,1,3-1
LIN Yun-Ju,Edward LY,1,3-0
Tomokazu HARIMOTO,Omar ASSAR,1,3-2
CHO Daeseong,XIANG Peng,2,0-3
LEE Sang Su,FAN Zhendong,2,0-3
Hugo CALDERANO,Truls MOREGARD,1,3-1
Dimitrij OVTCHAROV,Shunsuke TOGAMI,1,3-0
Darko JORGIC,Alexis LEBRUN,2,1-3
Simon GAUZY,LIANG Jingkun,2,0-3
WANG Chuqin,Sora MATSUSHIMA,1,3-2
KAO Cheng-Jui,LIN Gaoyuan,2,0-3
Felix LEBRUN,Timo BOLL,1,3-2
Dang QIU,JANG Woojin,1,3-1
LIN Yun-Ju,Tomokazu HARIMOTO,2,1-3
XIANG Peng,FAN Zhendong,2,1-3
Hugo CALDERANO,Dimitrij OVTCHAROV,1,3-2
Alexis LEBRUN,LIANG Jingkun,2,2-3
WANG Chuqin,LIN Gaoyuan,1,3-1
Felix LEBRUN,Dang QIU,2,2-3
Tomokazu HARIMOTO,FAN Zhendong,2,1-3
Hugo CALDERANO,LIANG Jingkun,1,3-2
WANG Chuqin,Dang QIU,1,4-2
FAN Zhendong,Hugo CALDERANO,1,4-0
WANG Chuqin,FAN Zhendong,2,3-4
