Player 1,Player 2,Winner (1 or 2),Scores
FAN Zhendong,BYE,N/A,N/A
Alexis LEBRUN,Patrick FRANZISKA,2,0-3
WONG Chun Ting,Harmeet DESAI,1,3-1
LIM Jonghoon,BYE,N/A,N/A
Darko JORGIC,BYE,N/A,N/A
Yukiya UDA,LEE Sang Su,1,3-0
Anders LIND,CHUANG Chih-Yuan,1,3-2
LIN Shidong,BYE,N/A,N/A
LIANG Jingkun,BYE,N/A,N/A
HO Kwan Kit,Hiroto SHINOZUKA,2,2-3
Liam PITCHFORD,Shunsuke TOGAMI,2,1-3
Marcos FREITAS,BYE,N/A,N/A
Tomokazu HARIMOTO,BYE,N/A,N/A
Joao GERALDO,Sora MATSUSHIMA,2,1-3
Alvaro ROBLES,Sharath Kamal ACHANTA,1,3-0
LIN Yun-Ju,BYE,N/A,N/A
LIN Gaoyuan,BYE,N/A,N/A
Alexandre CASSIN,Jakub DYJAS,1,3-1
Mohammed ABDULWAHAB,CHO Daeseong,2,1-3
JANG Woojin,BYE,N/A,N/A
Anton KALLBERG,BYE,N/A,N/A
Tomislav PUCAR,Omar ASSAR,1,3-1
Benedikt DUDA,Timo BOLL,1,3-2
MA Long,BYE,N/A,N/A
Hugo CALDERANO,BYE,N/A,N/A
CHO Seungmin,KAO Cheng-Jui,2,0-3
Jonathan GROTH,ZHOU Qihao,2,0-3
Dang QIU,BYE,N/A,N/A
Quadri ARUNA,BYE,N/A,N/A
Truls MOREGARD,Ovidiu IONESCU,1,3-1
Mattias FALCK,AN Jaehyun,2,1-3
WANG Chuqin,BYE,N/A,N/A
FAN Zhendong,Patrick FRANZISKA,1,3-1
WONG Chun Ting,LIM Jonghoon,2,2-3
Darko JORGIC,Yukiya UDA,1,3-1
Anders LIND,LIN Shidong,2,0-3
LIANG Jingkun,Hiroto SHINOZUKA,1,3-0
Shunsuke TOGAMI,Marcos FREITAS,1,3-2
Tomokazu HARIMOTO,Sora MATSUSHIMA,2,2-3
Alvaro ROBLES,LIN Yun-Ju,2,1-3
LIN Gaoyuan,Alexandre CASSIN,1,3-1
CHO Daeseong,JANG Woojin,2,2-3
Anton KALLBERG,Tomislav PUCAR,2,2-3
Benedikt DUDA,MA Long,2,2-3
Hugo CALDERANO,KAO Cheng-Jui,1,3-0
ZHOU Qihao,Dang QIU,2,2-3
Quadri ARUNA,Truls MOREGARD,2,0-3
AN Jaehyun,WANG Chuqin,2,0-3
FAN Zhendong,LIM Jonghoon,1,3-1
Darko JORGIC,LIN Shidong,2,1-3
LIANG Jingkun,Shunsuke TOGAMI,1,3-0
Sora MATSUSHIMA,LIN Yun-Ju,2,2-3
LIN Gaoyuan,JANG Woojin,1,3-1
Tomislav PUCAR,MA Long,2,0-3
Hugo CALDERANO,Dang QIU,2,1-3
Truls MOREGARD,WANG Chuqin,2,1-3
FAN Zhendong,LIN Shidong,2,2-3
LIANG Jingkun,LIN Yun-Ju,1,3-2
LIN Gaoyuan,MA Long,1,3-1
Dang QIU,WANG Chuqin,2,0-3
LIN Shidong,LIANG Jingkun,1,3-0
LIN Gaoyuan,WANG Chuqin,2,1-3
LIN Shidong,WANG Chuqin,2,2-4
