Player 1,Player 2,Winner (1 or 2),Scores
Felix LEBRUN,BYE,N/A,N/A
Cedric NUYTINCK,Daniel HABESOHN,1,3-0
Deni KOZUL,LEE Sang Su,2,1-3
Timo BOLL,BYE,N/A,N/A
Jonathan GROTH,BYE,N/A,N/A
Benedek OLAH,Hiroto SHINOZUKA,2,0-3
Ovidiu IONESCU,Andrej GACINA,2,2-3
JANG Woojin,BYE,N/A,N/A
Tomokazu HARIMOTO,BYE,N/A,N/A
Alexis LEBRUN,KAO Cheng-Jui,1,3-0
Joao MONTEIRO,Maciej KUBIK,1,3-2
Omar ASSAR,BYE,N/A,N/A
Darko JORGIC,BYE,N/A,N/A
Kirill GERASSIMENKO,Frane KOJIC,1,3-2
CHUANG Chih-Yuan,QUEK Izaac,1,3-0
Dimitrij OVTCHAROV,BYE,N/A,N/A
Dang QIU,BYE,N/A,N/A
LIM Jonghoon,HUANG Yan-Cheng,1,3-1
Alvaro ROBLES,Sora MATSUSHIMA,2,2-3
Truls MOREGARD,BYE,N/A,N/A
CHO Daeseong,BYE,N/A,N/A
Peter HRIBAR,Joao GERALDO,2,0-3
Tomislav PUCAR,WONG Chun Ting,1,3-1
Patrick FRANZISKA,BYE,N/A,N/A
Anton KALLBERG,BYE,N/A,N/A
MA Jinbao,Tiago APOLONIA,1,3-2
Mattias FALCK,Kristian KARLSSON,1,3-2
Shunsuke TOGAMI,BYE,N/A,N/A
AN Jaehyun,BYE,N/A,N/A
Jules ROLLAND,OH Junsung,1,3-2
Simon GAUZY,Anders LIND,2,1-3
Hugo CALDERANO,BYE,N/A,N/A
Felix LEBRUN,Cedric NUYTINCK,1,3-0
LEE Sang Su,Timo BOLL,2,0-3
Jonathan GROTH,Hiroto SHINOZUKA,1,3-2
Andrej GACINA,JANG Woojin,1,3-1
Tomokazu HARIMOTO,Alexis LEBRUN,1,3-1
Joao MONTEIRO,Omar ASSAR,2,0-3
Darko JORGIC,Kirill GERASSIMENKO,2,2-3
CHUANG Chih-Yuan,Dimitrij OVTCHAROV,2,1-3
Dang QIU,LIM Jonghoon,1,3-2
Sora MATSUSHIMA,Truls MOREGARD,1,3-2
CHO Daeseong,Joao GERALDO,1,3-0
Tomislav PUCAR,Patrick FRANZISKA,2,1-3
Anton KALLBERG,MA Jinbao,2,0-3
Mattias FALCK,Shunsuke TOGAMI,1,3-0
AN Jaehyun,Jules ROLLAND,1,3-2
Anders LIND,Hugo CALDERANO,2,1-3
Felix LEBRUN,Timo BOLL,1,3-0
Jonathan GROTH,Andrej GACINA,1,3-0
Tomokazu HARIMOTO,Omar ASSAR,1,3-0
Kirill GERASSIMENKO,Dimitrij OVTCHAROV,2,2-3
Dang QIU,Sora MATSUSHIMA,2,2-3
CHO Daeseong,Patrick FRANZISKA,1,3-1
MA Jinbao,Mattias FALCK,2,2-3
AN Jaehyun,Hugo CALDERANO,2,0-3
Felix LEBRUN,Jonathan GROTH,1,3-2
Tomokazu HARIMOTO,Dimitrij OVTCHAROV,1,3-0
Sora MATSUSHIMA,CHO Daeseong,2,1-3
Mattias FALCK,Hugo CALDERANO,2,1-3
Felix LEBRUN,Tomokazu HARIMOTO,1,3-2
CHO Daeseong,Hugo CALDERANO,2,0-3
Felix LEBRUN,Hugo CALDERANO,2,0-4
