Player 1,Player 2,Winner (1 or 2),Scores
FAN Zhendong,Finn LUU,1,3-0
LIN Shidong,AN Jaehyun,1,3-1
Timo BOLL,CHEW Zhe Yu Clarence,1,3-1
Edward LY,Anton KALLBERG,2,0-3
Tomokazu HARIMOTO,Ruwen FILUS,1,3-1
Noshad ALAMIYAN,Jonathan GROTH,2,1-3
Benedikt DUDA,Marcos FREITAS,1,3-2
Tiago APOLONIA,LIANG Jingkun,2,0-3
MA Long,Alexis LEBRUN,1,3-1
Simon GAUZY,Patrick FRANZISKA,2,2-3
Filip ZELJKO,FENG Yi-Hsin,2,0-3
Tomislav PUCAR,Dimitrij OVTCHAROV,2,1-3
Quadri ARUNA,LIM Jonghoon,1,3-2
Aditya SAREEN,Ovidiu IONESCU,2,1-3
Alvaro ROBLES,Milosz REDZIMSKI,1,3-1
Kirill GERASSIMENKO,LIN Yun-Ju,2,1-3
Felix LEBRUN,Sora MATSUSHIMA,1,3-2
OH Junsung,Mattias FALCK,2,2-3
PANG Yew En Koen,Daniel HABESOHN,2,0-3
Kristian KARLSSON,JANG Woojin,1,3-1
Darko JORGIC,Maciej KUBIK,1,3-0
Sharath Kamal ACHANTA,Nicolas BURGOS,1,3-0
QUEK Izaac,Omar ASSAR,2,1-3
LEE Sang Su,LIN Gaoyuan,1,3-1
Hugo CALDERANO,CHO Daeseong,2,1-3
CHUANG Chih-Yuan,Nicholas LUM,1,3-1
WONG Chun Ting,Maharu YOSHIMURA,2,1-3
Anders LIND,Dang QIU,2,2-3
Truls MOREGARD,Shunsuke TOGAMI,1,3-1
Liam PITCHFORD,Ahmed SALEH,1,3-0
KAO Cheng-Jui,CHO Seungmin,1,3-1
Joao GERALDO,WANG Chuqin,2,0-3
FAN Zhendong,LIN Shidong,2,1-3
Timo BOLL,Anton KALLBERG,1,3-1
Tomokazu HARIMOTO,Jonathan GROTH,1,3-0
Benedikt DUDA,LIANG Jingkun,2,0-3
MA Long,Patrick FRANZISKA,2,2-3
FENG Yi-Hsin,Dimitrij OVTCHAROV,2,2-3
Quadri ARUNA,Ovidiu IONESCU,2,0-3
Alvaro ROBLES,LIN Yun-Ju,2,0-3
Felix LEBRUN,Mattias FALCK,1,3-1
Daniel HABESOHN,Kristian KARLSSON,2,1-3
Darko JORGIC,Sharath Kamal ACHANTA,2,1-3
Omar ASSAR,LEE Sang Su,1,3-2
CHO Daeseong,CHUANG Chih-Yuan,1,3-1
Maharu YOSHIMURA,Dang QIU,2,0-3
Truls MOREGARD,Liam PITCHFORD,1,3-0
KAO Cheng-Jui,WANG Chuqin,2,0-3
LIN Shidong,Timo BOLL,2,1-3
Tomokazu HARIMOTO,LIANG Jingkun,2,2-3
Patrick FRANZISKA,Dimitrij OVTCHAROV,1,3-2
Ovidiu IONESCU,LIN Yun-Ju,2,0-3
Felix LEBRUN,Kristian KARLSSON,1,3-0
Sharath Kamal ACHANTA,Omar ASSAR,1,3-0
CHO Daeseong,Dang QIU,2,2-3
Truls MOREGARD,WANG Chuqin,2,0-3
Timo BOLL,LIANG Jingkun,2,3-4
Patrick FRANZISKA,LIN Yun-Ju,2,1-4
Felix LEBRUN,Sharath Kamal ACHANTA,1,4-1
Dang QIU,WANG Chuqin,2,1-4
LIANG Jingkun,LIN Yun-Ju,1,4-2
Felix LEBRUN,WANG Chuqin,2,1-4
LIANG Jingkun,WANG Chuqin,2,1-4
