Player 1,Player 2,Winner (1 or 2),Scores
FAN Zhendong,Sora MATSUSHIMA,1,3-0
WONG Chun Ting,Patrick FRANZISKA,2,1-3
OH Junsung,Omar ASSAR,1,3-2
CHUANG Chih-Yuan,Tomokazu HARIMOTO,2,0-3
Felix LEBRUN,Anders LIND,1,3-1
Marcos FREITAS,Dimitrij OVTCHAROV,2,1-3
Alexis LEBRUN,KAO Cheng-Jui,1,3-1
Shunsuke TOGAMI,Hugo CALDERANO,2,2-3
LIN Yun-Ju,Jonathan GROTH,1,3-0
JANG Woojin,AN Jaehyun,1,3-0
QUEK Izaac,LIM Jonghoon,2,0-3
Truls MOREGARD,MA Long,2,0-3
Dang QIU,Simon GAUZY,2,1-3
LEE Sang Su,Edward LY,1,3-0
Liam PITCHFORD,Darko JORGIC,2,0-3
Anton KALLBERG,LIANG Jingkun,2,2-3
FAN Zhendong,Patrick FRANZISKA,1,3-0
OH Junsung,Tomokazu HARIMOTO,2,2-3
Felix LEBRUN,Dimitrij OVTCHAROV,1,3-0
Alexis LEBRUN,Hugo CALDERANO,2,1-3
LIN Yun-Ju,JANG Woojin,1,3-1
LIM Jonghoon,MA Long,2,1-3
Simon GAUZY,LEE Sang Su,1,3-0
Darko JORGIC,LIANG Jingkun,2,1-3
FAN Zhendong,Tomokazu HARIMOTO,1,3-1
Felix LEBRUN,Hugo CALDERANO,2,0-3
LIN Yun-Ju,MA Long,2,1-3
Simon GAUZY,LIANG Jingkun,2,2-3
FAN Zhendong,Hugo CALDERANO,2,2-4
MA Long,LIANG Jingkun,2,3-4
Hugo CALDERANO,LIANG Jingkun,2,1-4
