Player 1,Player 2,Winner (1 or 2),Scores
Hugo CALDERANO,BYE,N/A,N/A
KANG Dongsoo,Anirban GHOSH,1,3-0
CHUANG Chih-Yuan,Simon GAUZY,1,3-1
LIM Jonghoon,BYE,N/A,N/A
Marcos FREITAS,BYE,N/A,N/A
Vincent PICARD,Kristian KARLSSON,1,3-2
Alvaro ROBLES,Jeet CHANDRA,1,3-0
Anton KALLBERG,BYE,N/A,N/A
Dang QIU,BYE,N/A,N/A
Harmeet DESAI,Andrej GACINA,2,2-3
Tiago APOLONIA,Kirill GERASSIMENKO,1,3-1
Omar ASSAR,BYE,N/A,N/A
Liam PITCHFORD,BYE,N/A,N/A
Ibrahima DIAW,WONG Chun Ting,2,1-3
Snehit SURAVAJJULA,Payas JAIN,1,3-1
Dimitrij OVTCHAROV,BYE,N/A,N/A
Darko JORGIC,BYE,N/A,N/A
Joao GERALDO,QUEK Izaac,2,1-3
AN Jaehyun,Kay STUMPER,1,3-0
Patrick FRANZISKA,BYE,N/A,N/A
LEE Sang Su,BYE,N/A,N/A
Yang WANG,OH Junsung,2,0-3
Manush Utpalbhai SHAH,CHO Seungmin,2,2-3
JANG Woojin,BYE,N/A,N/A
Quadri ARUNA,BYE,N/A,N/A
Lubomir PISTEJ,Ruwen FILUS,2,1-3
Tomislav PUCAR,CHO Daeseong,1,3-0
Alexis LEBRUN,BYE,N/A,N/A
Truls MOREGARD,BYE,N/A,N/A
Jules ROLLAND,KAO Cheng-Jui,2,2-3
PARK Gyuhyeon,Lilian BARDET,1,3-0
Felix LEBRUN,BYE,N/A,N/A
Hugo CALDERANO,KANG Dongsoo,1,3-0
CHUANG Chih-Yuan,LIM Jonghoon,2,1-3
Marcos FREITAS,Vincent PICARD,1,3-0
Alvaro ROBLES,Anton KALLBERG,2,1-3
Dang QIU,Andrej GACINA,1,3-2
Tiago APOLONIA,Omar ASSAR,1,3-2
Liam PITCHFORD,WONG Chun Ting,1,3-2
Snehit SURAVAJJULA,Dimitrij OVTCHAROV,2,0-3
Darko JORGIC,QUEK Izaac,1,3-1
AN Jaehyun,Patrick FRANZISKA,2,2-3
LEE Sang Su,OH Junsung,2,0-3
CHO Seungmin,JANG Woojin,2,0-3
Quadri ARUNA,Ruwen FILUS,1,3-0
Tomislav PUCAR,Alexis LEBRUN,2,0-3
Truls MOREGARD,KAO Cheng-Jui,1,3-1
PARK Gyuhyeon,Felix LEBRUN,2,0-3
Hugo CALDERANO,LIM Jonghoon,1,3-0
Marcos FREITAS,Anton KALLBERG,2,1-3
Dang QIU,Tiago APOLONIA,1,3-0
Liam PITCHFORD,Dimitrij OVTCHAROV,2,1-3
Darko JORGIC,Patrick FRANZISKA,2,2-3
OH Junsung,JANG Woojin,1,3-2
Quadri ARUNA,Alexis LEBRUN,1,3-1
Truls MOREGARD,Felix LEBRUN,2,0-3
Hugo CALDERANO,Anton KALLBERG,1,3-1
Dang QIU,Dimitrij OVTCHAROV,2,2-3
Patrick FRANZISKA,OH Junsung,1,3-2
Quadri ARUNA,Felix LEBRUN,2,0-3
Hugo CALDERANO,Dimitrij OVTCHAROV,1,3-1
Patrick FRANZISKA,Felix LEBRUN,2,1-3
Hugo CALDERANO,Felix LEBRUN,2,2-4
