Player 1,Player 2,Winner (1 or 2),Scores
WANG Chuqin,Hugo CALDERANO,1,4-2
JANG Woojin,LIN Yun-Ju,1,4-2
Shunsuke TOGAMI,Omar ASSAR,1,4-2
Felix LEBRUN,MA Long,2,2-4
LIANG Jingkun,Anton KALLBERG,2,3-4
Marcos FREITAS,Tomokazu HARIMOTO,2,2-4
Darko JORGIC,LIN Gaoyuan,2,2-4
LIN Shidong,FAN Zhendong,2,3-4
WANG Chuqin,JANG Woojin,1,4-1
Shunsuke TOGAMI,MA Long,2,2-4
Anton KALLBERG,Tomokazu HARIMOTO,2,2-4
LIN Gaoyuan,FAN Zhendong,1,4-2
WANG Chuqin,MA Long,2,0-4
Tomokazu HARIMOTO,LIN Gaoyuan,2,0-4
MA Long,LIN Gaoyuan,1,4-3
